Name,Package URL,Github,Downloads
smart-open,https://pypi.org/project/smart-open/,https://github.com/piskvorky/smart_open,15300535
altair,https://pypi.org/project/altair/,https://github.com/altair-viz/altair,15147832
h5py,https://pypi.org/project/h5py/,https://github.com/h5py/h5py,14933706
asgiref,https://pypi.org/project/asgiref/,https://github.com/django/asgiref/,14921300
backports.zoneinfo,https://pypi.org/project/backports.zoneinfo/,https://github.com/pganssle/zoneinfo,14861301
tinycss2,https://pypi.org/project/tinycss2/,https://www.courtbouillon.org/tinycss2,14586668
entrypoints,https://pypi.org/project/entrypoints/,https://github.com/takluyver/entrypoints,14582492
bleach,https://pypi.org/project/bleach/,https://github.com/mozilla/bleach,14527801
oauth2client,https://pypi.org/project/oauth2client/,http://github.com/google/oauth2client/,14347036
bs4,https://pypi.org/project/bs4/,https://pypi.python.org/pypi/beautifulsoup4,14323233
llvmlite,https://pypi.org/project/llvmlite/,https://github.com/numba/llvmlite,14297314
numba,https://pypi.org/project/numba/,https://numba.pydata.org,14291020
cattrs,https://pypi.org/project/cattrs/,https://github.com/python-attrs/cattrs,14197947
grpc-google-iam-v1,https://pypi.org/project/grpc-google-iam-v1/,https://github.com/googleapis/python-grpc-google-iam-v1,14043502
cfn-lint,https://pypi.org/project/cfn-lint/,https://github.com/aws-cloudformation/cfn-python-lint,14002050
tensorflow-estimator,https://pypi.org/project/tensorflow-estimator/,https://www.tensorflow.org/,13842268
google-cloud-secret-manager,https://pypi.org/project/google-cloud-secret-manager/,https://github.com/googleapis/google-cloud-python,13812881
crashtest,https://pypi.org/project/crashtest/,https://github.com/sdispater/crashtest,13775713
mlflow,https://pypi.org/project/mlflow/,https://github.com/mlflow/mlflow,13751048
Send2Trash,https://pypi.org/project/Send2Trash/,https://github.com/arsenetar/send2trash,13668527
shapely,https://pypi.org/project/shapely/,https://github.com/shapely/shapely,13654899
elasticsearch,https://pypi.org/project/elasticsearch/,https://github.com/elastic/elasticsearch-py,13615489
comm,https://pypi.org/project/comm/,https://github.com/ipython/comm,13567964
cleo,https://pypi.org/project/cleo/,https://github.com/python-poetry/cleo,13558909
orjson,https://pypi.org/project/orjson/,https://github.com/ijl/orjson,13494427
pendulum,https://pypi.org/project/pendulum/,https://pendulum.eustace.io,13483360
pytest-runner,https://pypi.org/project/pytest-runner/,https://github.com/pytest-dev/pytest-runner/,13379040
psycopg2,https://pypi.org/project/psycopg2/,https://psycopg.org/,13320236
nbclient,https://pypi.org/project/nbclient/,https://github.com/jupyter/nbclient,13298789
aenum,https://pypi.org/project/aenum/,https://github.com/ethanfurman/aenum,13236859
PyGithub,https://pypi.org/project/PyGithub/,https://github.com/pygithub/pygithub,13213893
